,sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_total_income,sa_sales,sa_total_assets,sa_pat,sa_total_liabilities,sa_gross_working_capital_cosm,sa_current_assets_incl_st_invest_loans,sa_current_liabilities,sa_cash_bal,sa_st_trade_bills_receivables,sa_debtors_more_6m,sa_st_trade_receivables,sa_nf_operating_expenses,sa_f_operating_expenses,sa_dep_owned_ast,sa_retained_profits,sa_pbit,sa_interest_inc,sa_interest_exp,sa_st_inventories,sa_pbdita_net_of_peoifi,sa_pbpt_net_of_peoi,sa_total_capital,sa_gross_fixed_assets,sa_pbdita,sa_cost_of_goods_sold,sa_cost_of_sales,sa_total_expense,sa_net_sales,sa_depreciation,sa_non_current_assets,sa_net_fixed_assets,sa_gross_fixed_assets.1,sa_non_fin_services_inc,sa_inc_fin_serv,sa_net_working_capital,sa_non_current_liabilities,sa_tot_inc_net_of_pe,sa_sales_n_chg_in_stk,sa_chg_in_assets_with_no_chg_in_efficiency,sa_chg_in_efficiency_with_no_chg_in_assets,sa_chg_in_efficiency_on_chg_in_assets,sa_reported_pat,sa_diff_in_pat,sa_pbpt,sa_pbt,sa_pbit_net_of_peoifi,sa_cash_profit,sa_equity_div_inc_dist_pc_pat,sa_sales_net_fixed_assets,sa_total_income_avg_tot_asset_net_miscexp_now_reval,sa_chg_in_efficiency_in_use_of_assets,sa_pc_chg_in_efficiency_with_no_chg_in_assets,sa_pc_chg_in_assets_with_no_chg_in_efficiency,sa_pc_chg_in_efficiency_on_chg_in_assets,sa_total_div_pc_pat,sa_total_interest_exp,sa_nf_oper_exp_pc_total_exp,sa_f_oper_exp_pc_total_exp,sa_fin_serv_exp_pc_total_exp,sa_pbpt_net_of_peoi_inc_fin_serv,sa_pat_cont_ops_pc_inc_cont_ops,sa_pat_discont_ops_pc_inc_discont_ops,sa_total_provisions_pc_pbdita,sa_write_offs_pc_pbdita,sa_depreciation_pc_pbdita,sa_amortisation_pc_pbdita,sa_fin_serv_exp_pc_pbdita,sa_prov_direct_tax_pc_pbdita,sa_pat_pc_pbdita,sa_pbdita_pc_total_inc,sa_pbt_pc_total_inc,sa_pat_pc_total_inc,sa_cash_profit_pc_total_inc,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_pat_net_of_pe_pc_avg_networth,sa_pat_pc_avg_networth,sa_cash_profit_pc_avg_networth,sa_pbpt_net_of_peoi_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_capital_employed,sa_pat_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_tot_asset_net_menow_reval,sa_pc_chg_in_profitability_with_no_chg_in_income,sa_st_trade_bills_receivables_pc_current_assets_incl_st_invest_loans,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cash_n_bank_no_fd_security_current_liab_n_prov,sa_cash_n_bank_no_fd_security_cost_of_sales_per_day,sa_rawmat_stores_spares_avg_stk_rawmat_stores,sa_cost_of_goods_sold_avg_stk_fg,sa_sales_avg_debtors,sa_creditors_turnover,sa_total_inc_net_of_pe_compensation_to_empl,sa_sales_avg_gfa_net_of_reval,sa_sales_net_repairs_avg_nfa_net_of_reval,equity_facevalue_on_stkdate,eps_on_stkdate,equity_bv_on_stkdate,high_price,stock_returns,market_cap,pe,pb,traded_qty
5416,79479,GARWARE MARINE INDS. LTD.,2018,12.9,11.5,84.3,0.3,84.3,33.4313,50.3,1.9,0.2,42.0,36.4,42.0,9.5,9.8,,0.3,1.4,0.2,0.3,,2.0,1.9,57.7,3.2,1.4,4.86,9.4,12.6,11.5,,34.0,0.2,3.2,,0.2,43.8,7.4,11.7,11.5,-0.0073,4.1107,-0.0034,0.3,0.0,1.1,1.1,2.0,1.1,0.0,5750.0,0.2148,-82.0,100.262,-0.1786,-0.0834,0.0,0.3,75.3968,77.7778,2.381,9.5,2.3256,0.0,0.0,0.0,0.0,0.0,21.4286,57.1429,21.4286,10.8527,8.5271,2.3256,8.5271,9.4017,2.1033,0.5736,2.1033,3.6294,2.1012,0.5731,1.8318,96.2132,83.499,22.9474,24.0526,0.0019,0.8421,62.1277,,,0.2812,0.9091,2.0172,-0.3276,0.0,10.0,0.5723,54.4,5.55,1.0499,32.0023,22.2784,0.6131,7210.0
5425,79489,GLOBAL OFFSHORE SERVICES LTD.,2018,822.3,762.7,7081.2,-1516.2,7081.2,4921.8371,1023.4,2071.6,0.2,249.9,115.6,249.9,592.0,853.9,236.9,-1516.2,-960.1,12.3,212.4,419.9,170.7,-273.0,247.3,5426.4,-723.2,609.74,828.4,2338.5,762.2,236.9,6057.8,4922.7,5426.4,762.7,55.1,-1249.7,2082.4,817.9,762.7,-84.61200000000001,-241.4634,18.0755,-1516.2,0.0,-1222.0,-1516.2,-66.2,-944.1,,15.4935,0.1078,0.4992,78.3972,27.4714,-2.3348,,212.4,25.3154,36.5149,11.1995,-4.9546,-184.3853,0.0,-40.6803,0.0,-32.7572,0.0,-36.214,0.0,209.6515,-87.9484,-184.3853,-184.3853,-114.8121,-69.3361,-16.7141,-44.6868,-27.8253,-3.7495,-7.7888,-20.8241,-7.4377,135.4801,24.4186,0.1929,0.3971,1.5,0.0322,29.3886,0.1775,,3.2538,3.3817,3.9762,0.1406,0.1508,10.0,-3.3281,4045.3,45.05,1.2,1085.594,,0.2773,337589.0
5434,79494,GARWARE TECHNICAL FIBRES LTD.,2018,9185.5,8855.0,9889.1,1051.2,9889.1,4500.7939,4902.7,4027.7,7.5,2201.8,,2201.8,7508.4,7608.2,153.6,919.5,1638.8,56.9,75.2,1641.9,1463.3,1540.5,218.8,2489.1,1792.3,5966.72,7624.5,8251.0,8831.4,153.5,4986.4,2212.5,2489.1,412.5,330.5,98.1,428.4,9185.5,8971.7,829.7727,-208.7915,-20.1812,1051.2,0.0,1539.0,1530.1,1309.8,1258.7,10.4072,400.226,1.0063,0.7468,-34.7522,138.1113,-1.8869999999999998,10.4072,75.2,90.9999,92.2094,1.2096,4.6611,11.4441,0.0,0.2957,0.2009,8.5644,0.0,5.5683,26.7199,58.6509,19.5123,16.6578,11.4441,13.7031,11.4605,21.6296,21.5987,25.8622,25.7207,17.5762,17.5512,11.5323,66.8798,44.9099,0.5893,1.024,0.2603,0.0472,10.4983,5.3191,10.0281,4.0405,2.5065,8.2021,3.8754,4.2565,10.0,50.5665,5629.4,1362.4,1.1063,29044.0582,26.2486,5.1594,305171.0
5439,79498,G A I L (INDIA) LTD.,2018,550055.7,538254.9,621649.4,46184.1,621649.4,155289.6435,101680.9,87375.8,5.4,30893.9,,30893.9,460274.4,464101.2,14158.3,25153.8,74854.7,2541.9,3034.3,19195.3,78303.9,68126.9,22550.7,318978.9,89013.0,451316.64,472900.4,504212.8,536378.7,14158.3,519968.5,280631.8,318978.9,26.5,7808.1,-13521.0,118758.1,547112.7,538596.1,23242.7614,19869.7885,912.65,46184.1,0.0,71027.9,69791.5,64145.6,67317.6,37.9027,191.8011,0.8927,1.6271,45.1328,52.7942,3.8676,37.9027,3120.0,91.2857,92.0447,0.759,8.7252,8.3963,0.0,1.0839,0.3051,15.9059,0.0,4.2991,26.5213,51.8847,16.1825,12.6881,8.3963,12.2383,8.1063,11.0807,11.5388,16.8189,15.6266,10.1729,10.5935,7.1979999999999995,56.173,30.3832,0.6259,0.8634,0.0505,0.2928,19.4362,4.5186,50.4515,11.6333,13.0465,38.6003,1.6995,1.8775,10.0,22.8272,424941.6,506.65,1.0656,888046.9334,21.9541,2.0898,15145786.0
5444,79550,GATEWAY DISTRIPARKS LTD.,2018,3501.6,3279.6,8943.4,380.1,8943.4,331.4005,2247.9,715.1,9.1,429.2,51.1,429.2,2641.3,2722.7,243.3,-519.7,617.0,3.9,79.0,,638.3,521.6,1087.3,2852.3,860.3,2209.8,2869.6,3121.5,3250.5,243.3,6695.5,2202.6,2852.3,3279.6,208.0,1440.6,971.1,3491.5,3279.6,-190.9247,223.3749,-12.2502,380.1,0.0,535.6,526.3,395.0,653.8,200.2368,148.8968,0.3891,-0.0387,1105.8162,-945.1717,-133.6758,200.2368,104.4,84.6164,87.2241,2.6077,2.5077,10.855,0.0,1.081,0.0,28.2808,0.0,9.4618,16.9941,44.1823,24.5688,15.0303,10.855,18.6715,10.5972,4.9919,5.1282,8.8208,6.1688,4.3759,4.4953,4.1116,101.6172,19.0934,2.8551,2.8772,0.1626,2.2402,10.6335,,,8.658999999999999,9.0571,19.8268,1.2931,1.6443,10.0,4.0891,7970.1,252.5,1.1999,26790.5913,60.3441,3.3614,2913442.0
5457,80013,GAYATRI PROJECTS LTD.,2018,29878.9,29115.6,50056.5,1880.9,50056.5,14011.6187,32861.0,19828.8,3.5,11337.1,,11337.1,23751.6,26721.5,546.7,1880.9,5246.3,405.6,2626.5,2929.6,5029.7,1926.3,374.4,6579.8,5793.0,22266.17,24253.9,27663.7,28760.4,546.7,17195.5,3349.6,6579.8,,413.2,8797.0,18601.7,29579.7,28781.3,2954.9611,4224.7514,563.9875,1880.9,0.0,2276.4,2091.0,4483.0,2138.9,0.0,869.2262,0.63,1.3864,54.5573,38.1596,8.9768,0.0,2626.5,85.8584,96.5941,10.7357,4.6619,6.2951,0.0,3.2004,0.0,9.4373,0.0,51.266999999999996,3.6268,32.4685,19.3883,6.9982,6.2951,7.1586,5.3472,16.9707,20.1809,22.9491,6.5285,5.3606,6.3747,3.3352,54.1993,34.5002,0.8597,1.4367,1.7484,0.1205,36.5122,3.946,,3.0837,1.8111,28.4502,4.7061,9.0392,2.0,9.022,11733.9,239.0,1.0647,40431.1584,30.3971,4.7213,14394214.0
5476,80152,ATLAS JEWELLERY INDIA LTD.,2018,72.8,55.6,1568.9,-39.9,1568.9,2718.3278,1520.8,46.4,0.4,1351.3,,1351.3,61.9,62.4,8.1,-39.9,-36.3,,,165.9,-39.4,-43.7,1007.1,105.3,-28.2,82.84,102.7,79.6,55.4,8.1,48.1,18.7,105.3,55.6,4.3,1471.2,,60.0,22.5,-3.7204,-10.7399,0.4603,-39.9,0.0,-36.8,-37.8,-47.5,-41.4,,297.3262,0.0457,0.1962,76.7137,26.5744,-3.1962,,,77.7638,78.392,0.6281,-10.1628,-54.8077,0.0,0.0,-3.5461,-28.7234,0.0,-1.7730000000000001,-7.4468,141.4894,-38.7363,-51.9231,-54.8077,-56.8681,-77.8333,-3.0339,-2.5922,-2.6896,-2.839,-3.0339,-2.5922,-2.931,23.0347,88.8546,27.3165,30.6613,0.0,0.0222,3.9094,,0.45399999999999996,0.0412,40.0,5.1282,0.53,2.3411,10.0,0.3587,1584.9,433.95,1.1995,42823.4711,1186.2457,27.0197,140130.0
5488,80259,GEEKAY WIRES LTD.,2018,1282.7,1257.7,1185.6,8.2,1185.6,467.0851,836.9,661.0,1.3,386.7,40.0,386.7,1257.5,1312.5,14.1,8.2,72.6,3.6,51.0,249.9,61.7,-1.5,83.3,,86.7,1121.43,1210.1,1336.0,1257.0,14.1,348.7,330.3,,0.1,5.9,56.3,288.8,1282.7,1319.2,444.5588,100.3174,66.4238,8.2,0.0,17.6,17.6,47.6,31.4,0.0,380.7751,1.4366,1.7186,16.4105,72.7235,13.8989,0.0,51.0,94.1243,98.241,4.1168,-0.2542,0.6393,0.0,0.0,0.0,16.262999999999998,0.0,63.4371,10.842,9.4579,6.7592,1.3721,0.6393,2.448,0.6393,6.5002,6.5002,24.891,-0.2018,1.1034,1.1034,0.9184,-129.8763,46.2062,0.7088,1.0847,3.8121,0.122,24.462,10.3659,35.7713,4.2714,15.3378,57.0089,18.0057,6.0714,10.0,0.9842,185.2,41.8,1.1058,348.2776,53.5812,1.9677,180000.0
5509,80856,GENESYS INTERNATIONAL CORPN. LTD.,2018,1233.6,1188.9,3504.0,310.0,3504.0,282.2908,1421.9,381.5,4.1,422.1,89.6,422.1,737.6,761.7,65.5,305.4,428.6,12.1,21.7,,451.3,378.8,154.7,1078.3,494.1,446.84,803.1,923.6,1188.9,65.5,2082.1,247.6,1078.3,1188.9,17.1,715.8,58.9,1233.6,1188.9,122.7999,267.5491,40.951,310.0,0.0,404.5,384.7,385.8,408.9,1.4839,480.1696,0.3791,0.9985,62.0332,28.471999999999998,10.7546,1.4839,21.7,79.8614,82.4708,2.6094,22.151999999999997,25.1297,0.0,0.0,4.0073,13.2564,0.0,4.8776,15.1184,62.7403,40.0535,31.1851,25.1297,33.1469,25.2837,11.8409,11.7687,15.5233,13.622,11.2162,11.1479,9.585,-35.2961,29.6856,2.0925,2.1353,0.0578,0.5813,166.5702,,,2.8449,0.7228,2.5851,1.182,5.7296,5.0,10.0777,2844.7,356.0,1.1165,10232.7989,33.6273,3.7785,570214.0
5518,80995,GENUS POWER INFRASTRUCTURES LTD.,2018,8587.8,8365.6,13480.5,515.4,13480.5,5758.8505,9859.4,5177.9,1.0,5132.7,,5132.7,7572.5,7800.2,171.4,407.0,975.2,81.8,167.0,1956.4,940.2,738.6,257.2,2112.2,1146.6,6682.39,7587.5,8219.5,8319.2,171.4,3621.1,1666.8,2112.2,,197.5,4138.0,610.9,8577.8,8512.7,842.1973,869.2393,108.1633,515.4,0.0,747.5,747.5,768.8,756.2,17.4622,501.8958,0.7002,1.3406,47.7709,46.2848,7.5911,17.4622,167.0,92.1285,94.8987,2.7702,3.7397,6.0015,0.0,0.0,0.0,14.9485,0.0,19.8587,20.2425,44.9503,13.3515,8.7042,6.0015,8.8055,6.0762,7.1741,7.0942,10.4087,7.7211,5.4484,5.3878,4.2495,316.915,52.0589,1.3981,1.7756,0.3201,0.4166,22.4219,6.2525,16.6955,1.9715,3.8417,11.2599,4.1593,5.0037,1.0,2.0359,7629.0,86.1,1.09,21594.4023,41.2343,2.9146,2316904.0
5533,81173,MAHINDRA LIFESPACE DEVELOPERS LTD.,2018,5572.2,4750.1,25140.0,531.2,25140.0,578.9361,17828.4,6360.5,11.9,1220.8,,1220.8,2925.6,3335.0,39.6,181.7,1198.7,598.1,382.2,7387.7,416.2,716.1,513.3,281.2,1238.3,2159.48,2936.0,3632.7,4750.1,39.6,7311.6,64.3,281.2,536.3,748.9,9440.6,115.6,5548.3,3341.8,-135.1311,-1858.0032,33.3343,531.2,0.0,789.3,789.3,376.6,572.3,57.9631,7387.4028,0.2249,4.3306,94.8058,6.8951,-1.0358,57.9631,382.2,80.5351,91.805,11.2699,0.9562,9.533,0.0,0.0,0.0,3.1979,0.0,33.0615,20.8431,42.8975,22.2228,14.165,9.533,10.2706,9.1433,3.076,3.2209,3.4701,3.3856,2.3984,2.5114,2.0479,1074.7982,6.8475,1.1752,2.3619,0.2038,0.4273,106.0191,-0.0161,,5.0714,0.9323,7.5848,16.8832,62.1334,10.0,10.7707,18208.6,669.0,1.1246,32987.06,66.3351,1.8269,4609328.0
5543,81531,GILADA FINANCE & INVSTS. LTD.,2018,26.0,,175.7,7.6,175.7,0.0,77.4,3.8,0.2,4.7,,4.7,8.6,9.7,0.5,6.5,14.2,24.9,0.4,38.5,-8.6,15.7,47.5,5.2,14.7,4.54,9.1,18.4,,0.5,98.3,1.7,5.2,,25.9,69.8,3.6,25.9,,3.0727,-2.4766,-0.2961,8.4,-0.8,13.1,10.8,-9.1,10.4,11.8421,0.0,0.2042,0.0221,-825.5333,1024.2344,925.5333,11.8421,0.4,46.7391,52.7174,5.9783,0.6062,29.2308,0.0,5.4422,10.2041,3.4014,0.0,7.483,21.7687,51.7007,56.5385,41.5385,29.2308,40.0,39.3822,8.8235,6.5744,8.9965,13.4016,8.7068,6.4874,8.0094,78.7942,6.0724,5.1733,10.3067,0.0,3.9733,1195.2747,,,0.0,0.0,4.9808,0.0,0.0,10.0,3.929,120.6,49.8,1.1997,167.3611,14.428,1.3877,11917.0
5548,81568,GILLANDERS ARBUTHNOT & CO. LTD.,2018,6414.5,6267.2,9381.8,-106.4,9381.8,3350.1848,4540.7,4132.6,1.6,1010.6,,1010.6,5977.3,6426.6,161.6,-106.4,374.9,28.4,446.2,1781.3,389.2,-175.2,354.4,6300.5,536.5,4932.72,6040.8,6620.2,6219.9,161.6,4841.1,3496.7,6300.5,74.6,46.5,-1388.1,1671.0,6366.7,6366.5,513.1317,-892.5735,-66.7582,-106.4,0.0,-74.4,-92.1,227.6,45.4,,179.2318,0.6824,-0.6821,200.0389,-115.0004,8.8181,,448.9,90.2888,97.0756,6.7868,-3.7677,-1.6587,0.0,0.0,3.2992,30.1212,0.0,83.7465,2.6654,-19.8322,8.3639,-1.4358,-1.6587,0.7078,-2.4219999999999997,-5.5417,-3.8238,1.6316,-2.7941,-2.4592,-1.6968,-1.6404,96.7679,22.2565,0.2689,0.6901,1.2527,-0.0065,6.5196,4.8226,6.4598,6.0764,3.2203,4.5568,1.0,1.7928,10.0,-6.7659,2975.0,87.35,1.0743,1822.6363,,0.6127,112550.0
5575,82103,GLANCE FINANCE LTD.,2018,23.5,,169.8,3.3,169.8,0.0,116.9,0.8,0.1,,,,15.7,16.3,0.7,3.3,6.0,0.5,,56.9,-15.7,6.5,30.3,7.1,6.7,7.03,16.1,20.2,,0.7,52.9,1.2,7.1,,23.5,115.3,3.3,23.5,,-1.1196,-0.2936,0.0132,3.3,0.0,5.4,5.4,-16.4,3.3,0.0,0.0,0.1294,0.1637,20.9703,79.9726,79.0297,0.0,,77.7228,80.6931,2.9703,0.2766,14.0426,0.0,0.0,0.0,10.4478,0.0,8.9552,31.3433,49.2537,28.5106,22.9787,14.0426,14.0426,18.7234,2.6837,2.0128,2.0128,3.9646,2.6837,2.0128,2.4229,128.0851,0.0,65.8889,129.1111,0.0,65.6667,22.6708,,,0.0,,2.6404,0.0,0.0,10.0,3.8591,168.5,54.0,1.05,162.3186,101.4491,1.0088,12805.0
5579,82150,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,2018,29672.0,28862.2,77366.0,3519.9,77366.0,11161.7244,35278.8,13448.7,,1626.5,225.0,1626.5,24366.4,24431.5,379.8,461.5,5473.0,515.7,1.9,5001.8,5075.2,5146.0,847.0,4058.9,5852.8,18007.44,24062.8,26731.5,28270.3,379.8,42087.2,3228.0,4058.9,629.1,515.7,4095.3,26957.9,29494.0,29441.6,2806.4923,-3927.5972,-353.8951,3519.9,0.0,5407.9,5407.9,4695.4,3744.3,72.1924,894.1202,0.4119,-0.2477,266.2778,-190.2707,15.8804,72.1924,1.9,91.1524,91.3959,0.2435,9.9787,11.8627,0.0,0.0,0.0,6.4892,0.0,1.1123,32.2581,60.1404,19.725,18.2256,11.8627,12.619000000000002,11.44,16.4264,17.1362,18.2286,25.0369,16.416,17.1254,4.6838,128.6956,4.6104,0.9571,1.1391,0.0005,0.4345,194.1647,5.2407,5.3556,16.5656,3.6831,5.4577,8.1882,10.0303,10.0,49.644,22746.4,3600.0,1.1391,304092.3013,72.3168,14.023,257696.0
5584,82197,GLENMARK PHARMACEUTICALS LTD.,2018,66123.1,64318.9,180748.1,10143.5,180748.1,56593.2889,70272.9,20916.0,5.8,40527.0,1785.8,40527.0,50249.4,52165.3,1182.0,9464.3,14145.8,1780.9,1909.0,11111.9,13551.1,12241.8,282.2,25817.6,15327.8,42289.17,56184.5,55461.2,63873.0,1182.0,110475.2,16991.2,25817.6,540.0,1788.6,34544.9,43465.3,66123.1,63800.5,18951.9944,-28674.306,-6592.0884,10143.5,0.0,12229.9,12188.4,12369.1,10705.1,6.6959,378.5424,0.384,-0.5069,175.7607,-116.1673,38.3176,6.6959,1909.0,90.6028,94.0573,3.4545,6.8443,15.3403,0.0,0.2707,0.0,7.7115,0.0,12.4995,13.3411,66.1771,23.1807,18.4329,15.3403,16.1897,15.3819,10.2592,10.2315,10.7979,9.5693,7.9505,7.928999999999999,5.9066,81.5632,57.6709,1.6669,2.1097,0.2869,0.057,11.5234,3.839,21.6169,1.578,1.9111,6.4705,2.5986,3.9034,1.0,49.0881,107888.3,711.9,1.0455,195345.0144,17.0808,1.8106,6588431.0
5626,82760,GOA CARBON LTD.,2018,5959.9,5872.5,3623.2,538.5,3623.2,1360.2366,3098.7,2262.8,0.4,564.1,2.0,564.1,4920.4,5017.4,18.6,450.3,951.6,60.9,54.3,934.2,927.3,897.9,91.5,276.7,970.2,4449.25,4950.8,5396.6,5804.2,18.6,524.5,240.1,276.7,,86.2,679.1,100.8,5958.7,5847.7,337.6401,2014.576,199.5838,538.5,0.0,854.6,850.7,908.7,558.6,13.6119,2445.8559,1.9105,9.0747,78.9473,13.2314,8.1715,13.6119,54.3,91.1759,92.9734,1.7974,10.4165,9.0354,0.0,0.0,0.402,1.9171,0.0,9.9979,32.1789,55.504,16.2788,14.2737,9.0354,9.3726,9.7639,57.6582,53.367,55.358999999999995,32.1252,20.8157,19.2665,18.6498,48.1056,18.2044,0.8818,1.2996,1.5944,0.6264,104.6754,7.7098,12.7779,14.9732,37.6681,31.9501,23.2897,26.1523,10.0,65.4351,1308.1,1215.4,1.05,10841.2513,20.7568,8.9999,1176241.0
5632,82913,GODAVARI DRUGS LTD.,2018,651.2,644.5,627.6,8.3,627.6,387.1315,470.4,361.5,0.3,267.8,,267.8,592.9,617.3,9.9,8.3,37.5,0.8,22.7,134.8,40.7,10.3,75.3,327.0,47.4,561.45,613.7,632.0,644.1,9.9,157.2,145.4,327.0,0.5,3.9,68.2,85.0,651.2,633.6,94.93299999999999,-251.857,-28.576,8.3,0.0,13.1,13.1,30.8,20.3,0.0,443.26,1.0995,-3.0737,135.77200000000002,-51.1768,14.9155,0.0,22.7,93.8133,97.6741,3.8608,2.641,1.2746,0.0,0.0,0.0,20.8861,0.0,51.4768,10.1266,17.5105,7.2789,2.0117,1.2746,3.1173,1.2746,4.9895,4.9895,12.2032,3.0343,2.4451,2.4451,1.4014,75.8742,56.9303,0.7858,1.1883,1.0827,0.0447,9.635,8.6567,15.9277,2.5299,2.6119,24.3895,2.0581,4.7216,10.0,1.4474,172.2,43.75,1.0919,326.8237,30.8932,1.9547,20055.0
5637,82982,GODFREY PHILLIPS INDIA LTD.,2018,59089.3,58329.5,23516.8,1607.6,23516.8,48103.0815,8833.3,5365.9,11.7,893.7,,893.7,54397.6,54412.8,956.5,1106.9,2415.1,22.0,11.8,5122.8,2647.4,2155.9,104.0,8995.7,3371.6,15435.19,56618.3,56197.2,52451.7,956.5,14683.5,6149.0,8995.7,84.3,480.2,2663.7,815.9,58828.6,57045.0,3637.7848,683.8544,45.4608,1607.6,0.0,2399.9,2343.7,1690.9,2599.8,25.8771,948.6014,2.6449,3.1359,15.6592,83.2998,1.7471,25.8771,11.8,96.7977,96.8248,0.027000000000000003,4.4896,2.7206,0.0,0.5517,1.1152,28.3693,0.0,0.4508,21.8324,47.6806,5.7059,3.9664,2.7206,4.3998,2.35,8.3811,9.7457,15.7607,12.6705,8.1251,9.4481,6.1881,-200.0057,10.1174,0.5376,1.4748,0.0186,0.3691,2.3659,1.3822,10.3909,44.0655,3.7552,28.0952,6.6271,9.0983,2.0,38.1064,17640.0,1080.0,1.0843,55573.7014,36.4872,3.2510000000000003,1045126.0
5642,83010,GODREJ AGROVET LTD.,2018,37207.9,36871.6,26036.1,1866.2,26036.1,11173.0777,11978.5,11545.3,5.8,5011.0,,5011.0,33277.2,33602.2,575.6,863.5,3231.3,21.9,306.1,5511.9,3508.4,2669.7,1920.3,8507.4,3806.9,31415.24,34009.1,35255.7,36667.2,575.6,14057.6,6943.4,8507.4,14.4,61.9,-472.6,1150.6,37176.1,36785.6,1531.2879,-1239.9275,-51.3604,1908.7,-42.5,2906.3,2770.8,2932.8,2578.0,44.6415,531.0309,1.4842,0.2407,-516.6365,638.0366,-9.0219,44.6415,346.3,94.3881,95.31,0.9218,43.1292,5.0156,0.0,1.4053,2.154,15.1199,0.0,8.5371,23.7621,49.0215,10.2314,7.4468,5.0156,6.9286,5.0360000000000005,17.086,17.0313,23.5273,18.465,12.9491,12.9076,7.4679,64.0011,41.8333,0.474,0.9606,0.1682,0.0103,1.3276,7.2434,25.2992,7.9343,3.8634,19.049,4.4545,5.2722,10.0,10.3604,19357.3,738.0,1.0818,139403.2631,74.4596,10.8158,2535520.0
5647,83013,GODREJ CONSUMER PRODUCTS LTD.,2018,54459.0,53638.7,81136.1,9998.7,81136.1,11893.353000000001,21375.9,16467.3,2.0,2542.0,,2542.0,39814.9,40426.0,633.0,2619.3,13507.3,417.7,172.1,5762.5,13361.4,12922.8,681.3,14780.9,14140.3,27533.95,41037.6,43997.9,52637.7,633.0,59760.2,13140.6,14780.9,267.6,805.5,1500.2,17663.8,54450.6,53176.3,7067.0383,-3635.3339,-498.6045,9998.7,0.0,12896.2,12890.1,12728.4,10696.4,61.32,408.1906,0.6967,0.3111,-123.9417,240.9409,-14.0252,61.32,172.1,90.4927,91.8817,1.3889,16.0432,18.3601,0.0,0.0219,0.0212,4.4766,0.0,4.3217,20.4479,70.7107,25.965,23.6694,18.3601,19.6412,18.4235,22.2551,22.1819,23.7297,28.2029,21.8933,21.8213,12.8332,65.4142,11.8919,0.7236,1.0891,0.0,0.5644,37.605,8.1661,9.1002,22.8932,1.8938,15.3162,3.7505,4.1299,1.0,15.7642,50783.6,1469.0,1.0548,989558.9975,92.1326,20.9397,2353345.0
5653,83018,GODREJ INDUSTRIES LTD.,2018,22962.6,17967.1,51049.4,2414.0,51049.4,5078.5335,6057.5,27522.9,3.5,1208.6,29.7,1208.6,17428.4,19576.6,685.8,1814.0,4623.9,10.8,1980.9,2999.1,405.8,2256.8,336.3,15187.3,5309.7,15671.08,18267.0,20415.7,17631.7,685.8,44991.9,13618.6,15187.3,234.1,4685.0,-22318.4,5377.8,22960.7,17834.2,465.7326,5753.5662,161.6012,2414.0,0.0,2475.7,2474.9,-280.0,3118.3,24.3786,131.9306,0.45299999999999996,4.6078,90.1686,7.2989,2.9455,24.3786,1980.9,85.3676,95.8899,10.5223,0.4817,10.5127,0.0,0.0151,0.0,12.915999999999999,0.0,40.458,1.147,45.464,23.1233,10.777999999999999,10.5127,13.5799,10.9043,14.6587,14.1335,18.2571,5.0252,5.575,5.3752,4.9394,82.5249,19.9521,0.0749,0.1905,1.5019999999999998,0.0223,12.3085,9.8792,19.7394,14.6395,3.7382,17.1926,1.1939,1.301,1.0,8.3174,19050.2,657.6,1.0499,218193.4792,86.4758,11.7055,1745977.0
5658,83025,GODREJ PROPERTIES LTD.,2018,14494.5,9329.1,68102.2,2408.5,68102.2,1069.471,55825.0,40327.7,9.7,1185.7,,1185.7,7202.8,10186.4,145.3,2408.5,6714.1,2662.8,2116.7,19000.1,1698.9,3499.9,1082.4,1525.0,6859.4,5304.4,7487.3,11658.6,9289.4,145.3,12277.2,1131.8,1525.0,1267.8,4929.9,-6726.9,5123.5,14493.7,8901.7,1566.2879999999998,552.9297,70.3823,2408.5,0.0,3730.5,3730.5,1553.6,3121.5,0.0,824.2711,0.2243,0.3001,25.2525,71.5331,17.1351,0.0,2116.7,61.781000000000006,87.3724,25.5914,0.7099,16.6166,0.0,0.0,0.0,2.1183,0.0,43.4965,19.2728,35.1124,47.3242,25.7373,16.6166,21.5358,16.6459,11.4292,11.4098,14.7875,6.1131,4.2139999999999995,4.2068,3.7337,18.8524,2.124,0.3506,0.8342,1.6682,0.1847,139.0669,,,7.0009,2.4904,14.6787,6.6201,8.5923,5.0,11.1447,32319.8,920.0,1.0845,190944.7251,104.5413,9.0853,2207657.0
